Search number,Query,Sort By,Filters,Search Details,Results,Time
42,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) AND (""Data Interpretation, Statistical/methods""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) - Schema: all",,,"((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms] AND ""data interpretation, statistical/methods""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])",0,11:58:36
41,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) AND (""Data Intepretation, Statistical/methods"")[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract])",,,"((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms] AND ((""data basel""[Journal] OR ""brown univ dig addict theory appl""[Journal] OR ""data""[All Fields]) AND ""intepretation""[All Fields] AND ""statistical methods""[All Fields])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT (""tutorial""[Title/Abstract] OR ""orientation""[Title/Abstract])",0,11:58:01
40,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) AND (""Data Intepretation, Statistical/methods"")[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract]) - Schema: all",,,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) AND (""Data Intepretation, Statistical/methods"")[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial""[title/abstract] OR ""orientation""[title/abstract])",0,11:58:01
37,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]","14,777",11:50:47
38,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh]) AND (propose novel [title/abstract]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms] AND ((""proposal""[All Fields] OR ""proposal s""[All Fields] OR ""proposals""[All Fields] OR ""propose""[All Fields] OR ""proposed""[All Fields] OR ""proposes""[All Fields] OR ""proposing""[All Fields]) AND ""novel""[Title/Abstract])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]",58,11:43:00
36,"(""Models, Statistical"" [Mesh] OR ""Biostatistics/methods""[Mesh]) AND (""Longitudinal Studies""[Mesh])",,,"(""models, statistical""[MeSH Terms] OR ""biostatistics/methods""[MeSH Terms]) AND ""Longitudinal Studies""[MeSH Terms]","16,443",11:37:41
35,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) AND (""Statistics as Topic/methods""[Mesh]) AND (longitudinal[OT] OR repeated measures [OT]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms] AND ""statistics as topic/methods""[MeSH Terms] AND (""Longitudinal""[Other Term] OR ""repeated measures""[Other Term])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]",53,11:34:10
34,"""Statistics as Topic/methods""[Mesh]",,,"""statistics as topic/methods""[MeSH Terms]","55,515",11:33:33
33,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) AND (""statistics and numerical data"" [Subheading]) AND (longitudinal[OT] OR repeated measures [OT]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms] AND ""statistics and numerical data""[MeSH Subheading] AND (""Longitudinal""[Other Term] OR ""repeated measures""[Other Term])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]",617,11:32:44
32,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) AND (longitudinal[OT] OR repeated measures [OT]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms] AND (""Longitudinal""[Other Term] OR ""repeated measures""[Other Term])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]","1,282",11:30:36
31,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) AND (longitudinal[OT] OR [repeated measures]OT) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms] AND (""Longitudinal""[Other Term] OR ((""repeatabilities""[All Fields] OR ""repeatability""[All Fields] OR ""repeatable""[All Fields] OR ""repeated""[All Fields] OR ""repeatibility""[All Fields]) AND (""measurability""[All Fields] OR ""measurable""[All Fields] OR ""measurably""[All Fields] OR ""measure s""[All Fields] OR ""measureable""[All Fields] OR ""measured""[All Fields] OR ""measurement""[All Fields] OR ""measurement s""[All Fields] OR ""measurements""[All Fields] OR ""measurer""[All Fields] OR ""measurers""[All Fields] OR ""measuring""[All Fields] OR ""measurings""[All Fields] OR ""measurment""[All Fields] OR ""measurments""[All Fields] OR ""weights and measures""[MeSH Terms] OR (""weights""[All Fields] AND ""measures""[All Fields]) OR ""weights and measures""[All Fields] OR ""measure""[All Fields] OR ""measures""[All Fields]) AND ""OT""[All Fields]))) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]","1,223",11:21:17
30,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) AND (longitudinal') NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms] AND (""Longitudinal""[All Fields] OR ""longitudinally""[All Fields])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]","16,482",11:20:49
29,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]","18,134",11:16:16
17,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]","18,167",11:10:46
28,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] OR ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]","18,167",11:09:09
27,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",0,11:08:23
26,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) - Schema: all",,,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",0,11:08:23
25,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics as Topic/methods""[Mesh] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""statistics as topic/methods""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",459,11:05:14
24,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) OR (""Models, Statistical""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (""Review""[Publication Type] OR ""Meta Analys*""[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract] OR (""models, statistical""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]","680,096",11:01:44
23,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""search""[All Fields] OR ""searched""[All Fields] OR ""searches""[All Fields] OR ""searching""[All Fields] OR ""searchs""[All Fields]) AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",89,10:49:07
22,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]  AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""search""[All Fields] OR ""searched""[All Fields] OR ""searches""[All Fields] OR ""searching""[All Fields] OR ""searchs""[All Fields]) AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",0,10:48:33
21,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) - Schema: all",,,"((""Search""[All Fields] AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",0,10:48:33
20,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""search""[All Fields] OR ""searched""[All Fields] OR ""searches""[All Fields] OR ""searching""[All Fields] OR ""searchs""[All Fields]) AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",0,10:47:59
19,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) - Schema: all",,,"((""Search""[All Fields] AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",0,10:47:59
18,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Longitudinal Studies/methods""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ((""models, statistical""[MeSH Terms] AND ""longitudinal studies/methods""[MeSH Terms]) OR ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",122,10:38:51
16,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])","19,700",10:27:10
15,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])","19,713",10:26:21
14,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Longitudinal Studies/methods""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""longitudinal studies/methods""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",114,10:25:57
13,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",7,10:25:25
12,"(""Longitudinal Studies/methods""[Mesh]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",65,10:23:53
